output_page,filter_field,filter_value,output_filename
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Kirklees,page10_Kirklees
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Kirklees,page11_Kirklees
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Kirklees,page12_Kirklees
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Kirklees,page13_Kirklees
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Kirklees,page14_Kirklees
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Knowsley,page01_Knowsley
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Knowsley,page02_Knowsley
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Knowsley,page03_Knowsley
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Knowsley,page04_Knowsley
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Knowsley,page05_Knowsley
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Knowsley,page06_Knowsley
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Knowsley,page07_Knowsley
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Knowsley,page08_Knowsley
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Knowsley,page09_Knowsley
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Knowsley,page10_Knowsley
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Knowsley,page11_Knowsley
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Knowsley,page12_Knowsley
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Knowsley,page13_Knowsley
Migration_PerformanceReports_ClickC/COC,Pm_Region,Knowsley,page14_Knowsley
Migration_PerformanceReports_ClickC/POP,Pm_Region,Knowsley,page15_Knowsley
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Knowsley,page16_Knowsley
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Knowsley,page17_Knowsley
Migration_PerformanceReports_ClickC/RoyalLiverpool,Pm_Region,Knowsley,page18_Knowsley
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Leicester,page01_Leicester
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Leicester,page02_Leicester
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Leicester,page03_Leicester
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Leicester,page04_Leicester
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Leicester,page05_Leicester
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Leicester,page06_Leicester
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Leicester,page07_Leicester
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Leicester,page08_Leicester
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Leicester,page09_Leicester
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Leicester,page10_Leicester
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Leicester,page11_Leicester
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Leicester,page12_Leicester
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Leicester,page13_Leicester
Migration_PerformanceReports_ClickC/COC,Pm_Region,Leicester,page14_Leicester
Migration_PerformanceReports_ClickC/POP,Pm_Region,Leicester,page15_Leicester
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Leicester,page16_Leicester
Migration_PerformanceReports_ClickC/EC,Pm_Region,Leicester,page17_Leicester
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Leicester,page18_Leicester
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Leicester,page19_Leicester
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Leicestershire,page01_Leicestershire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Leicestershire,page02_Leicestershire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Leicestershire,page03_Leicestershire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Leicestershire,page04_Leicestershire
Migration_PerformanceReports_ClickC/STIDistrict,Pm_Region,Leicestershire,page05_Leicestershire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Leicestershire,page06_Leicestershire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Leicestershire,page07_Leicestershire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Leicestershire,page08_Leicestershire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Leicestershire,page09_Leicestershire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Leicestershire,page10_Leicestershire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Leicestershire,page11_Leicestershire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Leicestershire,page12_Leicestershire
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Leicestershire,page13_Leicestershire
Migration_PerformanceReports_ClickC/COC,Pm_Region,Leicestershire,page14_Leicestershire
Migration_PerformanceReports_ClickC/POP,Pm_Region,Leicestershire,page15_Leicestershire
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Leicestershire,page16_Leicestershire
Migration_PerformanceReports_ClickC/EC,Pm_Region,Leicestershire,page17_Leicestershire
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Leicestershire,page18_Leicestershire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Leicestershire,page19_Leicestershire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Liverpool,page01_Liverpool
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Liverpool,page02_Liverpool
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Liverpool,page03_Liverpool
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Liverpool,page04_Liverpool
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Liverpool,page05_Liverpool
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Liverpool,page06_Liverpool
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Liverpool,page07_Liverpool
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Liverpool,page08_Liverpool
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Liverpool,page09_Liverpool
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Liverpool,page10_Liverpool
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Liverpool,page11_Liverpool
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Liverpool,page12_Liverpool
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Liverpool,page13_Liverpool
Migration_PerformanceReports_ClickC/RoyalLiverpool,Pm_Region,Liverpool,page14_Liverpool
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Manchester,page01_Manchester
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Manchester,page02_Manchester
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Manchester,page03_Manchester
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Manchester,page04_Manchester
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Manchester,page05_Manchester
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Manchester,page06_Manchester
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Manchester,page07_Manchester
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Manchester,page08_Manchester
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Manchester,page09_Manchester
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Manchester,page10_Manchester
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Manchester,page11_Manchester
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Manchester,page12_Manchester
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Manchester,page13_Manchester
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,North%20Staffordshire,page01_North Staffordshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,North%20Staffordshire,page02_North Staffordshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,North%20Staffordshire,page03_North Staffordshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,North%20Staffordshire,page04_North Staffordshire
Migration_PerformanceReports_ClickC/STIDistrict,Pm_Region,North%20Staffordshire,page05_North Staffordshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,North%20Staffordshire,page06_North Staffordshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,North%20Staffordshire,page07_North Staffordshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,North%20Staffordshire,page08_North Staffordshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,North%20Staffordshire,page09_North Staffordshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,North%20Staffordshire,page10_North Staffordshire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,North%20Staffordshire,page11_North Staffordshire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,North%20Staffordshire,page12_North Staffordshire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,North%20Staffordshire,page13_North Staffordshire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Northern%20Ireland,page01_Northern Ireland
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Northern%20Ireland,page02_Northern Ireland
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Northern%20Ireland,page03_Northern Ireland
Migration_PerformanceReports_ClickC/NIRegions,Pm_Region,Northern%20Ireland,page04_Northern Ireland
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Northern%20Ireland,page05_Northern Ireland
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Northern%20Ireland,page06_Northern Ireland
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Northern%20Ireland,page07_Northern Ireland
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Northern%20Ireland,page08_Northern Ireland
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Northern%20Ireland,page09_Northern Ireland
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Northern%20Ireland,page10_Northern Ireland
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Northern%20Ireland,page11_Northern Ireland
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Northern%20Ireland,page12_Northern Ireland
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Northern%20Ireland,page13_Northern Ireland
Migration_PerformanceReports_ClickC/COC,Pm_Region,Northern%20Ireland,page14_Northern Ireland
Migration_PerformanceReports_ClickC/POP,Pm_Region,Northern%20Ireland,page15_Northern Ireland
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Northern%20Ireland,page16_Northern Ireland
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Northern%20Ireland,page17_Northern Ireland
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Orbish,page01_Orbish
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Orbish,page02_Orbish
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Orbish,page03_Orbish
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Orbish,page04_Orbish
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Orbish,page05_Orbish
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Orbish,page06_Orbish
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Orbish,page07_Orbish
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Orbish,page08_Orbish
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Orbish,page09_Orbish
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Orbish,page10_Orbish
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Orbish,page11_Orbish
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Orbish,page12_Orbish
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Orbish,page13_Orbish
Migration_PerformanceReports_ClickC/POP,Pm_Region,Orbish,page14_Orbish
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Orbish,page15_Orbish
Migration_PerformanceReports_ClickC/EC,Pm_Region,Orbish,page16_Orbish
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Orbish,page17_Orbish
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Orbish,page18_Orbish
Migration_PerformanceReports_ClickC/DistrictOrbishTeesside,Pm_Region,Orbish,page19_Orbish
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Rotherham,page01_Rotherham
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Rotherham,page02_Rotherham
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Rotherham,page03_Rotherham
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Rotherham,page04_Rotherham
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Rotherham,page05_Rotherham
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Rotherham,page06_Rotherham
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Rotherham,page07_Rotherham
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Rotherham,page08_Rotherham
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Rotherham,page09_Rotherham
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Rotherham,page10_Rotherham
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Rotherham,page11_Rotherham
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Rotherham,page12_Rotherham
Migration_PerformanceReports_ClickC/COC,Pm_Region,Rotherham,page13_Rotherham
Migration_PerformanceReports_ClickC/POP,Pm_Region,Rotherham,page14_Rotherham
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Rotherham,page15_Rotherham
Migration_PerformanceReports_ClickC/EC,Pm_Region,Rotherham,page16_Rotherham
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Rotherham,page17_Rotherham
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Rutland,page01_Rutland
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Rutland,page02_Rutland
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Rutland,page03_Rutland
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Rutland,page04_Rutland
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Rutland,page05_Rutland
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Rutland,page06_Rutland
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Rutland,page07_Rutland
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Rutland,page08_Rutland
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Rutland,page09_Rutland
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Rutland,page10_Rutland
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Rutland,page11_Rutland
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Rutland,page12_Rutland
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Rutland,page13_Rutland
Migration_PerformanceReports_ClickC/COC,Pm_Region,Rutland,page14_Rutland
Migration_PerformanceReports_ClickC/POP,Pm_Region,Rutland,page15_Rutland
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Rutland,page16_Rutland
Migration_PerformanceReports_ClickC/EC,Pm_Region,Rutland,page17_Rutland
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Rutland,page18_Rutland
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Rutland,page19_Rutland
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Southend,page01_Southend
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Southend,page02_Southend
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Southend,page03_Southend
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Southend,page04_Southend
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Southend,page05_Southend
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Southend,page06_Southend
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Southend,page07_Southend
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Southend,page08_Southend
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Southend,page09_Southend
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Southend,page10_Southend
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Southend,page11_Southend
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Southend,page12_Southend
Migration_PerformanceReports_ClickC/COC,Pm_Region,Southend,page13_Southend
Migration_PerformanceReports_ClickC/POP,Pm_Region,Southend,page14_Southend
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Southend,page15_Southend
Migration_PerformanceReports_ClickC/EC,Pm_Region,Southend,page16_Southend
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Southend,page17_Southend
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Southend,page18_Southend
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Staffordshire,page01_Staffordshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Staffordshire,page02_Staffordshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Staffordshire,page03_Staffordshire
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Staffordshire,page04_Staffordshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Staffordshire,page05_Staffordshire
Migration_PerformanceReports_ClickC/STIDistrict,Pm_Region,Staffordshire,page06_Staffordshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Staffordshire,page07_Staffordshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Staffordshire,page08_Staffordshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Staffordshire,page09_Staffordshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Staffordshire,page10_Staffordshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Staffordshire,page11_Staffordshire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Staffordshire,page12_Staffordshire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Staffordshire,page13_Staffordshire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Staffordshire,page14_Staffordshire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Stockport,page01_Stockport
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Stockport,page02_Stockport
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Stockport,page03_Stockport
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Stockport,page04_Stockport
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Stockport,page05_Stockport
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Stockport,page06_Stockport
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Stockport,page07_Stockport
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Stockport,page08_Stockport
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Stockport,page09_Stockport
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Stockport,page10_Stockport
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Stockport,page11_Stockport
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Stockport,page12_Stockport
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Stoke,page01_Stoke
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Stoke,page02_Stoke
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Stoke,page03_Stoke
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Stoke,page04_Stoke
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Stoke,page05_Stoke
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Stoke,page06_Stoke
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Stoke,page07_Stoke
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Stoke,page08_Stoke
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Stoke,page09_Stoke
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Stoke,page10_Stoke
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Stoke,page11_Stoke
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Stoke,page12_Stoke
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Tameside,page01_Tameside
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Tameside,page02_Tameside
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Tameside,page03_Tameside
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Tameside,page04_Tameside
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Tameside,page05_Tameside
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Tameside,page06_Tameside
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Tameside,page07_Tameside
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Tameside,page08_Tameside
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Tameside,page09_Tameside
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Tameside,page10_Tameside
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Tameside,page11_Tameside
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Tameside,page12_Tameside
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Teesside,page01_Teesside
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Teesside,page02_Teesside
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Teesside,page03_Teesside
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Teesside,page04_Teesside
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Teesside,page05_Teesside
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Teesside,page06_Teesside
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Teesside,page07_Teesside
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Teesside,page08_Teesside
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Teesside,page09_Teesside
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Teesside,page10_Teesside
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Teesside,page11_Teesside
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Teesside,page12_Teesside
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Teesside,page13_Teesside
Migration_PerformanceReports_ClickC/POP,Pm_Region,Teesside,page14_Teesside
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Teesside,page15_Teesside
Migration_PerformanceReports_ClickC/EC,Pm_Region,Teesside,page16_Teesside
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Teesside,page17_Teesside
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Teesside,page18_Teesside
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Telford%20and%20Wrekin,page01_Telford and Wrekin
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Telford%20and%20Wrekin,page02_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Telford%20and%20Wrekin,page03_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Telford%20and%20Wrekin,page04_Telford and Wrekin
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Telford%20and%20Wrekin,page05_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Telford%20and%20Wrekin,page06_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Telford%20and%20Wrekin,page07_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Telford%20and%20Wrekin,page08_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Telford%20and%20Wrekin,page09_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Telford%20and%20Wrekin,page10_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Telford%20and%20Wrekin,page11_Telford and Wrekin
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Telford%20and%20Wrekin,page12_Telford and Wrekin
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Telford%20and%20Wrekin,page13_Telford and Wrekin
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Thurrock,page01_Thurrock
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Thurrock,page02_Thurrock
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Thurrock,page03_Thurrock
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Thurrock,page04_Thurrock
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Thurrock,page05_Thurrock
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Thurrock,page06_Thurrock
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Thurrock,page07_Thurrock
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Thurrock,page08_Thurrock
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Thurrock,page09_Thurrock
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Thurrock,page10_Thurrock
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Thurrock,page11_Thurrock
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Thurrock,page12_Thurrock
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Thurrock,page13_Thurrock
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Trafford,page01_Trafford
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Trafford,page02_Trafford
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Trafford,page03_Trafford
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Trafford,page04_Trafford
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Trafford,page05_Trafford
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Trafford,page06_Trafford
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Trafford,page07_Trafford
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Trafford,page08_Trafford
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Trafford,page09_Trafford
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Trafford,page10_Trafford
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Trafford,page11_Trafford
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Trafford%20NCSP,page01_Trafford NCSP
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Trafford%20NCSP,page02_Trafford NCSP
