output_page,filter_field,filter_value,output_filename
Migration_PerformanceReports/EC,Pm_Region,Leicestershire,page17_Leicestershire
Migration_PerformanceReports/ECdelivered,Pm_Region,Leicestershire,page18_Leicestershire
Migration_PerformanceReports/Feedback,Pm_Region,Leicestershire,page19_Leicestershire
Migration_PerformanceReports/Coverpage,Pm_Region,Liverpool,page01_Liverpool
Migration_PerformanceReports/Highlights,Pm_Region,Liverpool,page02_Liverpool
Migration_PerformanceReports/STIactivity,Pm_Region,Liverpool,page03_Liverpool
Migration_PerformanceReports/STIoffline,Pm_Region,Liverpool,page04_Liverpool
Migration_PerformanceReports/RoyalLiverpool,Pm_Region,Liverpool,page05_Liverpool
Migration_PerformanceReports/STILSOA,Pm_Region,Liverpool,page06_Liverpool
Migration_PerformanceReports/STIresults,Pm_Region,Liverpool,page07_Liverpool
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Liverpool,page08_Liverpool
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Liverpool,page09_Liverpool
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Liverpool,page10_Liverpool
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Liverpool,page11_Liverpool
Migration_PerformanceReports/STIDemographics1,Pm_Region,Liverpool,page12_Liverpool
Migration_PerformanceReports/STIDemographics2,Pm_Region,Liverpool,page13_Liverpool
Migration_PerformanceReports/Feedback,Pm_Region,Liverpool,page14_Liverpool
Migration_PerformanceReports/Coverpage,Pm_Region,North%20Staffordshire,page01_North Staffordshire
Migration_PerformanceReports/Highlights,Pm_Region,North%20Staffordshire,page02_North Staffordshire
Migration_PerformanceReports/STIactivity,Pm_Region,North%20Staffordshire,page03_North Staffordshire
Migration_PerformanceReports/STILSOA,Pm_Region,North%20Staffordshire,page04_North Staffordshire
Migration_PerformanceReports/STIDistrict,Pm_Region,North%20Staffordshire,page05_North Staffordshire
Migration_PerformanceReports/STIresults,Pm_Region,North%20Staffordshire,page06_North Staffordshire
Migration_PerformanceReports/STIresultTOTs,Pm_Region,North%20Staffordshire,page07_North Staffordshire
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,North%20Staffordshire,page08_North Staffordshire
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,North%20Staffordshire,page09_North Staffordshire
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,North%20Staffordshire,page10_North Staffordshire
Migration_PerformanceReports/STIDemographics1,Pm_Region,North%20Staffordshire,page11_North Staffordshire
Migration_PerformanceReports/STIDemographics2,Pm_Region,North%20Staffordshire,page12_North Staffordshire
Migration_PerformanceReports/Feedback,Pm_Region,North%20Staffordshire,page13_North Staffordshire
Migration_PerformanceReports/Coverpage,Pm_Region,Northern%20Ireland,page01_Northern Ireland
Migration_PerformanceReports/Highlights,Pm_Region,Northern%20Ireland,page02_Northern Ireland
Migration_PerformanceReports/STIactivity,Pm_Region,Northern%20Ireland,page03_Northern Ireland
Migration_PerformanceReports//NIRegions,Pm_Region,Northern%20Ireland,page04_Northern Ireland
Migration_PerformanceReports/STILSOA,Pm_Region,Northern%20Ireland,page05_Northern Ireland
Migration_PerformanceReports/STIresults,Pm_Region,Northern%20Ireland,page06_Northern Ireland
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Northern%20Ireland,page07_Northern Ireland
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Northern%20Ireland,page08_Northern Ireland
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Northern%20Ireland,page09_Northern Ireland
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Northern%20Ireland,page10_Northern Ireland
Migration_PerformanceReports/STIDemographics1,Pm_Region,Northern%20Ireland,page11_Northern Ireland
Migration_PerformanceReports/STIDemographics2,Pm_Region,Northern%20Ireland,page12_Northern Ireland
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Northern%20Ireland,page13_Northern Ireland
Migration_PerformanceReports/COC,Pm_Region,Northern%20Ireland,page14_Northern Ireland
Migration_PerformanceReports/POP,Pm_Region,Northern%20Ireland,page15_Northern Ireland
Migration_PerformanceReports/COCPOPmap,Pm_Region,Northern%20Ireland,page16_Northern Ireland
Migration_PerformanceReports/EC,Pm_Region,Northern%20Ireland,page17_Northern Ireland
Migration_PerformanceReports/ECdelivered,Pm_Region,Northern%20Ireland,page18_Northern Ireland
Migration_PerformanceReports/Feedback,Pm_Region,Northern%20Ireland,page19_Northern Ireland
Migration_PerformanceReports/Coverpage,Pm_Region,Nottingham,page01_Nottingham
Migration_PerformanceReports/Highlights,Pm_Region,Nottingham,page02_Nottingham
Migration_PerformanceReports/STIactivity,Pm_Region,Nottingham,page03_Nottingham
Migration_PerformanceReports/STILSOA,Pm_Region,Nottingham,page04_Nottingham
Migration_PerformanceReports/STIresults,Pm_Region,Nottingham,page05_Nottingham
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Nottingham,page06_Nottingham
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Nottingham,page07_Nottingham
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Nottingham,page08_Nottingham
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Nottingham,page09_Nottingham
Migration_PerformanceReports/STIDemographics1,Pm_Region,Nottingham,page10_Nottingham
Migration_PerformanceReports/STIDemographics2,Pm_Region,Nottingham,page11_Nottingham
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Nottingham,page12_Nottingham
Migration_PerformanceReports/Feedback,Pm_Region,Nottingham,page13_Nottingham
Migration_PerformanceReports/Coverpage,Pm_Region,Oldham,page01_Oldham
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Oldham,page02_Oldham
Migration_PerformanceReports/COC,Pm_Region,Oldham,page03_Oldham
Migration_PerformanceReports/POP,Pm_Region,Oldham,page04_Oldham
Migration_PerformanceReports/COCPOPmap,Pm_Region,Oldham,page05_Oldham
Migration_PerformanceReports/EC,Pm_Region,Oldham,page06_Oldham
Migration_PerformanceReports/ECdelivered,Pm_Region,Oldham,page07_Oldham
Migration_PerformanceReports/Feedback,Pm_Region,Oldham,page08_Oldham
Migration_PerformanceReports/Coverpage,Pm_Region,Orbish,page01_Orbish
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Orbish,page02_Orbish
Migration_PerformanceReports/COC,Pm_Region,Orbish,page03_Orbish
Migration_PerformanceReports/POP,Pm_Region,Orbish,page04_Orbish
Migration_PerformanceReports/COCPOPmap,Pm_Region,Orbish,page05_Orbish
Migration_PerformanceReports/EC,Pm_Region,Orbish,page06_Orbish
Migration_PerformanceReports/ECdelivered,Pm_Region,Orbish,page07_Orbish
Migration_PerformanceReports/Feedback,Pm_Region,Orbish,page08_Orbish
Migration_PerformanceReports/Coverpage,Pm_Region,Rochdale,page01_Rochdale
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Rochdale,page02_Rochdale
Migration_PerformanceReports/COC,Pm_Region,Rochdale,page03_Rochdale
Migration_PerformanceReports/POP,Pm_Region,Rochdale,page04_Rochdale
Migration_PerformanceReports/COCPOPmap,Pm_Region,Rochdale,page05_Rochdale
Migration_PerformanceReports/EC,Pm_Region,Rochdale,page06_Rochdale
Migration_PerformanceReports/ECdelivered,Pm_Region,Rochdale,page07_Rochdale
Migration_PerformanceReports/Feedback,Pm_Region,Rochdale,page08_Rochdale
Migration_PerformanceReports/Coverpage,Pm_Region,Rotherham,page01_Rotherham
Migration_PerformanceReports/Highlights,Pm_Region,Rotherham,page02_Rotherham
Migration_PerformanceReports/STIactivity,Pm_Region,Rotherham,page03_Rotherham
Migration_PerformanceReports/STILSOA,Pm_Region,Rotherham,page04_Rotherham
Migration_PerformanceReports/STIresults,Pm_Region,Rotherham,page05_Rotherham
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Rotherham,page06_Rotherham
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Rotherham,page07_Rotherham
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Rotherham,page08_Rotherham
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Rotherham,page09_Rotherham
Migration_PerformanceReports/STIDemographics1,Pm_Region,Rotherham,page10_Rotherham
Migration_PerformanceReports/STIDemographics2,Pm_Region,Rotherham,page11_Rotherham
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Rotherham,page12_Rotherham
Migration_PerformanceReports/COC,Pm_Region,Rotherham,page13_Rotherham
Migration_PerformanceReports/POP,Pm_Region,Rotherham,page14_Rotherham
Migration_PerformanceReports/COCPOPmap,Pm_Region,Rotherham,page15_Rotherham
Migration_PerformanceReports/EC,Pm_Region,Rotherham,page16_Rotherham
Migration_PerformanceReports/Coverpage,Pm_Region,Rutland,page01_Rutland
Migration_PerformanceReports/Highlights,Pm_Region,Rutland,page02_Rutland
Migration_PerformanceReports/STIactivity,Pm_Region,Rutland,page03_Rutland
Migration_PerformanceReports/STIoffline,Pm_Region,Rutland,page04_Rutland
Migration_PerformanceReports/STILSOA,Pm_Region,Rutland,page05_Rutland
Migration_PerformanceReports/STIresults,Pm_Region,Rutland,page06_Rutland
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Rutland,page07_Rutland
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Rutland,page08_Rutland
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Rutland,page09_Rutland
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Rutland,page10_Rutland
Migration_PerformanceReports/STIDemographics1,Pm_Region,Rutland,page11_Rutland
Migration_PerformanceReports/STIDemographics2,Pm_Region,Rutland,page12_Rutland
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Rutland,page13_Rutland
Migration_PerformanceReports/COC,Pm_Region,Rutland,page14_Rutland
Migration_PerformanceReports/POP,Pm_Region,Rutland,page15_Rutland
Migration_PerformanceReports/COCPOPmap,Pm_Region,Rutland,page16_Rutland
Migration_PerformanceReports/EC,Pm_Region,Rutland,page17_Rutland
Migration_PerformanceReports/ECdelivered,Pm_Region,Rutland,page18_Rutland
Migration_PerformanceReports/Feedback,Pm_Region,Rutland,page19_Rutland
Migration_PerformanceReports/Coverpage,Pm_Region,South%20Tyneside,page01_South Tyneside
Migration_PerformanceReports/Highlights,Pm_Region,South%20Tyneside,page02_South Tyneside
Migration_PerformanceReports/STIactivity,Pm_Region,South%20Tyneside,page03_South Tyneside
Migration_PerformanceReports/STILSOA,Pm_Region,South%20Tyneside,page04_South Tyneside
Migration_PerformanceReports/STIresults,Pm_Region,South%20Tyneside,page05_South Tyneside
Migration_PerformanceReports/STIresultTOTs,Pm_Region,South%20Tyneside,page06_South Tyneside
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,South%20Tyneside,page07_South Tyneside
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,South%20Tyneside,page08_South Tyneside
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,South%20Tyneside,page09_South Tyneside
Migration_PerformanceReports/STIDemographics1,Pm_Region,South%20Tyneside,page10_South Tyneside
Migration_PerformanceReports/STIDemographics2,Pm_Region,South%20Tyneside,page11_South Tyneside
Migration_PerformanceReports/Feedback,Pm_Region,South%20Tyneside,page12_South Tyneside
Migration_PerformanceReports/Coverpage,Pm_Region,Southend,page01_Southend
Migration_PerformanceReports/Highlights,Pm_Region,Southend,page02_Southend
Migration_PerformanceReports/STIactivity,Pm_Region,Southend,page03_Southend
Migration_PerformanceReports/STILSOA,Pm_Region,Southend,page04_Southend
Migration_PerformanceReports/STIresults,Pm_Region,Southend,page05_Southend
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Southend,page06_Southend
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Southend,page07_Southend
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Southend,page08_Southend
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Southend,page09_Southend
Migration_PerformanceReports/STIDemographics1,Pm_Region,Southend,page10_Southend
Migration_PerformanceReports/STIDemographics2,Pm_Region,Southend,page11_Southend
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Southend,page12_Southend
Migration_PerformanceReports/COC,Pm_Region,Southend,page13_Southend
Migration_PerformanceReports/POP,Pm_Region,Southend,page14_Southend
Migration_PerformanceReports/COCPOPmap,Pm_Region,Southend,page15_Southend
Migration_PerformanceReports/EC,Pm_Region,Southend,page16_Southend
Migration_PerformanceReports/ECdelivered,Pm_Region,Southend,page17_Southend
Migration_PerformanceReports/Feedback,Pm_Region,Southend,page18_Southend
Migration_PerformanceReports/Coverpage,Pm_Region,Staffordshire,page01_Staffordshire
Migration_PerformanceReports/Highlights,Pm_Region,Staffordshire,page02_Staffordshire
Migration_PerformanceReports/STIactivity,Pm_Region,Staffordshire,page03_Staffordshire
Migration_PerformanceReports/STIoffline,Pm_Region,Staffordshire,page04_Staffordshire
Migration_PerformanceReports/STILSOA,Pm_Region,Staffordshire,page05_Staffordshire
Migration_PerformanceReports/STIDistrict,Pm_Region,Staffordshire,page06_Staffordshire
Migration_PerformanceReports/STIresults,Pm_Region,Staffordshire,page07_Staffordshire
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Staffordshire,page08_Staffordshire
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Staffordshire,page09_Staffordshire
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Staffordshire,page10_Staffordshire
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Staffordshire,page11_Staffordshire
Migration_PerformanceReports/STIDemographics1,Pm_Region,Staffordshire,page12_Staffordshire
Migration_PerformanceReports/STIDemographics2,Pm_Region,Staffordshire,page13_Staffordshire
Migration_PerformanceReports/Feedback,Pm_Region,Staffordshire,page14_Staffordshire
Migration_PerformanceReports/Coverpage,Pm_Region,Stockport,page01_Stockport
Migration_PerformanceReports/Highlights,Pm_Region,Stockport,page02_Stockport
Migration_PerformanceReports/STIactivity,Pm_Region,Stockport,page03_Stockport
Migration_PerformanceReports/STILSOA,Pm_Region,Stockport,page04_Stockport
Migration_PerformanceReports/STIresults,Pm_Region,Stockport,page05_Stockport
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Stockport,page06_Stockport
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Stockport,page07_Stockport
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Stockport,page08_Stockport
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Stockport,page09_Stockport
Migration_PerformanceReports/STIDemographics1,Pm_Region,Stockport,page10_Stockport
Migration_PerformanceReports/STIDemographics2,Pm_Region,Stockport,page11_Stockport
Migration_PerformanceReports/Feedback,Pm_Region,Stockport,page12_Stockport
Migration_PerformanceReports/Coverpage,Pm_Region,Stoke,page01_Stoke
Migration_PerformanceReports/Highlights,Pm_Region,Stoke,page02_Stoke
Migration_PerformanceReports/STIactivity,Pm_Region,Stoke,page03_Stoke
Migration_PerformanceReports/STILSOA,Pm_Region,Stoke,page04_Stoke
Migration_PerformanceReports/STIresults,Pm_Region,Stoke,page05_Stoke
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Stoke,page06_Stoke
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Stoke,page07_Stoke
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Stoke,page08_Stoke
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Stoke,page09_Stoke
Migration_PerformanceReports/STIDemographics1,Pm_Region,Stoke,page10_Stoke
Migration_PerformanceReports/STIDemographics2,Pm_Region,Stoke,page11_Stoke
Migration_PerformanceReports/Feedback,Pm_Region,Stoke,page12_Stoke
Migration_PerformanceReports/Coverpage,Pm_Region,Sunderland,page01_Sunderland
Migration_PerformanceReports/Highlights,Pm_Region,Sunderland,page02_Sunderland
Migration_PerformanceReports/STIactivity,Pm_Region,Sunderland,page03_Sunderland
Migration_PerformanceReports/STILSOA,Pm_Region,Sunderland,page04_Sunderland
Migration_PerformanceReports/STIDistrict,Pm_Region,Sunderland,page05_Sunderland
Migration_PerformanceReports/STIresults,Pm_Region,Sunderland,page06_Sunderland
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Sunderland,page07_Sunderland
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Sunderland,page08_Sunderland
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Sunderland,page09_Sunderland
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Sunderland,page10_Sunderland
Migration_PerformanceReports/STIDemographics1,Pm_Region,Sunderland,page11_Sunderland
Migration_PerformanceReports/STIDemographics2,Pm_Region,Sunderland,page12_Sunderland
Migration_PerformanceReports/Feedback,Pm_Region,Sunderland,page13_Sunderland
Migration_PerformanceReports/Coverpage,Pm_Region,Tameside,page01_Tameside
Migration_PerformanceReports/Highlights,Pm_Region,Tameside,page02_Tameside
Migration_PerformanceReports/STIactivity,Pm_Region,Tameside,page03_Tameside
Migration_PerformanceReports/STILSOA,Pm_Region,Tameside,page04_Tameside
Migration_PerformanceReports/STIresults,Pm_Region,Tameside,page05_Tameside
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Tameside,page06_Tameside
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Tameside,page07_Tameside
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Tameside,page08_Tameside
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Tameside,page09_Tameside
Migration_PerformanceReports/STIDemographics1,Pm_Region,Tameside,page10_Tameside
Migration_PerformanceReports/STIDemographics2,Pm_Region,Tameside,page11_Tameside
Migration_PerformanceReports/Feedback,Pm_Region,Tameside,page12_Tameside
Migration_PerformanceReports/Coverpage,Pm_Region,Teesside,page01_Teesside
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Teesside,page02_Teesside
Migration_PerformanceReports/COC,Pm_Region,Teesside,page03_Teesside
Migration_PerformanceReports/POP,Pm_Region,Teesside,page04_Teesside
Migration_PerformanceReports/COCPOPmap,Pm_Region,Teesside,page05_Teesside
Migration_PerformanceReports/EC,Pm_Region,Teesside,page06_Teesside
Migration_PerformanceReports/ECdelivered,Pm_Region,Teesside,page07_Teesside
Migration_PerformanceReports/Feedback,Pm_Region,Teesside,page08_Teesside
Migration_PerformanceReports/Coverpage,Pm_Region,Telford%20and%20Wrekin,page01_Telford and Wrekin
Migration_PerformanceReports/Highlights,Pm_Region,Telford%20and%20Wrekin,page02_Telford and Wrekin
Migration_PerformanceReports/STIactivity,Pm_Region,Telford%20and%20Wrekin,page03_Telford and Wrekin
Migration_PerformanceReports/STIoffline,Pm_Region,Telford%20and%20Wrekin,page04_Telford and Wrekin
Migration_PerformanceReports/STILSOA,Pm_Region,Telford%20and%20Wrekin,page05_Telford and Wrekin
Migration_PerformanceReports/STIresults,Pm_Region,Telford%20and%20Wrekin,page06_Telford and Wrekin
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Telford%20and%20Wrekin,page07_Telford and Wrekin
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Telford%20and%20Wrekin,page08_Telford and Wrekin
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Telford%20and%20Wrekin,page09_Telford and Wrekin
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Telford%20and%20Wrekin,page10_Telford and Wrekin
Migration_PerformanceReports/STIDemographics1,Pm_Region,Telford%20and%20Wrekin,page11_Telford and Wrekin
Migration_PerformanceReports/STIDemographics2,Pm_Region,Telford%20and%20Wrekin,page12_Telford and Wrekin
Migration_PerformanceReports/Feedback,Pm_Region,Telford%20and%20Wrekin,page13_Telford and Wrekin
Migration_PerformanceReports/Coverpage,Pm_Region,Thurrock,page01_Thurrock
Migration_PerformanceReports/Highlights,Pm_Region,Thurrock,page02_Thurrock
Migration_PerformanceReports/STIactivity,Pm_Region,Thurrock,page03_Thurrock
Migration_PerformanceReports/STILSOA,Pm_Region,Thurrock,page04_Thurrock
Migration_PerformanceReports/STIresults,Pm_Region,Thurrock,page05_Thurrock
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Thurrock,page06_Thurrock
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Thurrock,page07_Thurrock
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Thurrock,page08_Thurrock
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Thurrock,page09_Thurrock
Migration_PerformanceReports/STIDemographics1,Pm_Region,Thurrock,page10_Thurrock
Migration_PerformanceReports/STIDemographics2,Pm_Region,Thurrock,page11_Thurrock
Migration_PerformanceReports/Feedback,Pm_Region,Thurrock,page12_Thurrock
Migration_PerformanceReports/Coverpage,Pm_Region,Warrington,page01_Warrington
Migration_PerformanceReports/Highlights,Pm_Region,Warrington,page02_Warrington
Migration_PerformanceReports/STIactivity,Pm_Region,Warrington,page03_Warrington
Migration_PerformanceReports/STIoffline,Pm_Region,Warrington,page04_Warrington
Migration_PerformanceReports/RoyalLiverpool,Pm_Region,Warrington,page05_Warrington
Migration_PerformanceReports/STILSOA,Pm_Region,Warrington,page06_Warrington
Migration_PerformanceReports/STIresults,Pm_Region,Warrington,page07_Warrington
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Warrington,page08_Warrington
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Warrington,page09_Warrington
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Warrington,page10_Warrington
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Warrington,page11_Warrington
Migration_PerformanceReports/STIDemographics1,Pm_Region,Warrington,page12_Warrington
Migration_PerformanceReports/STIDemographics2,Pm_Region,Warrington,page13_Warrington
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Warrington,page14_Warrington
Migration_PerformanceReports/COC,Pm_Region,Warrington,page15_Warrington
Migration_PerformanceReports/POP,Pm_Region,Warrington,page16_Warrington
Migration_PerformanceReports/COCPOPmap,Pm_Region,Warrington,page17_Warrington
Migration_PerformanceReports/Feedback,Pm_Region,Warrington,page18_Warrington
Migration_PerformanceReports/Coverpage,Pm_Region,Wirral,page01_Wirral
Migration_PerformanceReports/Highlights,Pm_Region,Wirral,page02_Wirral
Migration_PerformanceReports/STIactivity,Pm_Region,Wirral,page03_Wirral
Migration_PerformanceReports/STILSOA,Pm_Region,Wirral,page04_Wirral
Migration_PerformanceReports/STIresults,Pm_Region,Wirral,page05_Wirral
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Wirral,page06_Wirral
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Wirral,page07_Wirral
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Wirral,page08_Wirral
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Wirral,page09_Wirral
Migration_PerformanceReports/STIDemographics1,Pm_Region,Wirral,page10_Wirral
Migration_PerformanceReports/STIDemographics2,Pm_Region,Wirral,page11_Wirral
Migration_PerformanceReports/Feedback,Pm_Region,Wirral,page12_Wirral
Migration_PerformanceReports/Coverpage,Pm_Region,Worcestershire,page01_Worcestershire
Migration_PerformanceReports/Highlights,Pm_Region,Worcestershire,page02_Worcestershire
Migration_PerformanceReports/STIactivity,Pm_Region,Worcestershire,page03_Worcestershire
Migration_PerformanceReports/STILSOA,Pm_Region,Worcestershire,page04_Worcestershire
Migration_PerformanceReports/STIDistrict,Pm_Region,Worcestershire,page05_Worcestershire
Migration_PerformanceReports/STIresults,Pm_Region,Worcestershire,page06_Worcestershire
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Worcestershire,page07_Worcestershire
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Worcestershire,page08_Worcestershire
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Worcestershire,page09_Worcestershire
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Worcestershire,page10_Worcestershire
Migration_PerformanceReports/STIDemographics1,Pm_Region,Worcestershire,page11_Worcestershire
Migration_PerformanceReports/STIDemographics2,Pm_Region,Worcestershire,page12_Worcestershire
Migration_PerformanceReports/Feedback,Pm_Region,Worcestershire,page13_Worcestershire
Migration_PerformanceReports/Coverpage,Pm_Region,Windsor%20and%20Maidenhead,page01_Windsor and Maidenhead
Migration_PerformanceReports/Highlights,Pm_Region,Windsor%20and%20Maidenhead,page02_Windsor and Maidenhead
Migration_PerformanceReports/STIactivity,Pm_Region,Windsor%20and%20Maidenhead,page03_Windsor and Maidenhead
Migration_PerformanceReports/STILSOA,Pm_Region,Windsor%20and%20Maidenhead,page04_Windsor and Maidenhead
Migration_PerformanceReports/STIresults,Pm_Region,Windsor%20and%20Maidenhead,page05_Windsor and Maidenhead
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Windsor%20and%20Maidenhead,page06_Windsor and Maidenhead
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Windsor%20and%20Maidenhead,page07_Windsor and Maidenhead
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Windsor%20and%20Maidenhead,page08_Windsor and Maidenhead
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Windsor%20and%20Maidenhead,page09_Windsor and Maidenhead
Migration_PerformanceReports/STIDemographics1,Pm_Region,Windsor%20and%20Maidenhead,page10_Windsor and Maidenhead
Migration_PerformanceReports/STIDemographics2,Pm_Region,Windsor%20and%20Maidenhead,page11_Windsor and Maidenhead
Migration_PerformanceReports/Feedback,Pm_Region,Windsor%20and%20Maidenhead,page12_Windsor and Maidenhead
Migration_PerformanceReports/Coverpage,Pm_Region,Slough,page01_Slough
Migration_PerformanceReports/Highlights,Pm_Region,Slough,page02_Slough
Migration_PerformanceReports/STIactivity,Pm_Region,Slough,page03_Slough
Migration_PerformanceReports/STILSOA,Pm_Region,Slough,page04_Slough
Migration_PerformanceReports/STIresults,Pm_Region,Slough,page05_Slough
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Slough,page06_Slough
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Slough,page07_Slough
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Slough,page08_Slough
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Slough,page09_Slough
Migration_PerformanceReports/STIDemographics1,Pm_Region,Slough,page10_Slough
Migration_PerformanceReports/STIDemographics2,Pm_Region,Slough,page11_Slough
Migration_PerformanceReports/Feedback,Pm_Region,Slough,page12_Slough
Migration_PerformanceReports/Coverpage,Pm_Region,Halton,page01_Halton
Migration_PerformanceReports/Highlights,Pm_Region,Halton,page02_Halton
Migration_PerformanceReports/STIactivity,Pm_Region,Halton,page03_Halton
Migration_PerformanceReports/STIoffline,Pm_Region,Halton,page04_Halton
Migration_PerformanceReports/RoyalLiverpool,Pm_Region,Halton,page05_Halton
Migration_PerformanceReports/STILSOA,Pm_Region,Halton,page06_Halton
Migration_PerformanceReports/STIresults,Pm_Region,Halton,page07_Halton
Migration_PerformanceReports/STIresultTOTs,Pm_Region,Halton,page08_Halton
Migration_PerformanceReports/STIdiagnosisCTGC,Pm_Region,Halton,page09_Halton
Migration_PerformanceReports/STIdiagnosisHIVSyp,Pm_Region,Halton,page10_Halton
Migration_PerformanceReports/STIrisksafeguarding,Pm_Region,Halton,page11_Halton
Migration_PerformanceReports/STIDemographics1,Pm_Region,Halton,page12_Halton
Migration_PerformanceReports/STIDemographics2,Pm_Region,Halton,page13_Halton
Migration_PerformanceReports/ContraceptionPD,Pm_Region,Halton,page14_Halton
Migration_PerformanceReports/COC,Pm_Region,Halton,page15_Halton
Migration_PerformanceReports/POP,Pm_Region,Halton,page16_Halton
